City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Camapua,BR,-19.53,-54.04,90.19,15,91,8.59,overcast clouds
211,Los Palacios,CU,22.59,-83.25,91.9,48,25,10.27,scattered clouds
212,Talnakh,RU,69.49,88.40,52.21,69,100,4.56,overcast clouds
213,Leningradskiy,RU,69.38,178.42,33.04,97,100,18.16,light snow
214,East London,ZA,-33.02,27.91,62.58,82,93,4.83,light rain
215,Usinsk,RU,65.99,57.53,62.71,60,26,8.34,scattered clouds
216,Port Macquarie,AU,-31.43,152.92,53.49,94,75,3.44,broken clouds
217,Strezhevoy,RU,60.73,77.59,59.07,68,81,3.42,broken clouds
218,Imbituba,BR,-28.24,-48.67,66.09,91,0,13.0,clear sky
219,Pendleton,US,45.67,-118.79,96.62,23,0,11.99,clear sky
220,Constitucion,CL,-35.33,-72.42,57.38,77,7,12.1,clear sky
221,Zyryanka,RU,65.75,150.85,45.99,69,100,8.9,overcast clouds
222,Adre,TD,13.47,22.20,73.72,69,100,8.68,overcast clouds
223,Hasaki,JP,35.73,140.83,73.8,84,99,8.41,overcast clouds
224,Tura,IN,25.52,90.22,74.73,97,100,5.48,light rain
225,Wamba,NG,8.93,8.60,70.86,98,100,4.12,heavy intensity rain
226,Hamilton,US,39.18,-84.53,94.6,62,75,12.66,broken clouds
227,Esperance,AU,-33.87,121.90,61.63,51,100,17.31,light rain
228,Codrington,AU,-38.27,141.97,37.89,85,0,8.81,clear sky
229,Lorengau,PG,-2.02,147.27,79.2,80,97,3.71,overcast clouds
230,Vila Do Maio,CV,15.13,-23.22,79.59,82,18,4.16,few clouds
231,Muros,ES,42.78,-9.06,71.69,77,3,13.09,clear sky
232,Tecpan,GT,14.76,-90.99,68.88,48,100,6.76,overcast clouds
233,Sept-Iles,CA,50.20,-66.38,79.32,45,75,13.8,broken clouds
234,Airai,TL,-8.93,125.41,56.7,94,84,3.53,broken clouds
235,Fairbanks,US,64.84,-147.72,64.09,64,75,9.22,broken clouds
236,Itarema,BR,-2.92,-39.92,80.17,68,88,14.67,overcast clouds
237,Sorland,NO,67.67,12.69,53.46,88,97,22.97,overcast clouds
238,Matagami,CA,49.75,-77.63,73.51,68,0,10.36,clear sky
239,Paita,PE,-5.09,-81.11,69.1,69,30,16.35,scattered clouds
240,Khandyga,RU,62.67,135.60,67.93,79,0,2.13,clear sky
241,Ondjiva,AO,-17.07,15.73,59.31,32,1,7.76,clear sky
242,Isangel,VU,-19.55,169.27,75.31,88,99,3.44,overcast clouds
243,Ostrovnoy,RU,68.05,39.51,47.68,96,24,5.08,few clouds
244,Cidreira,BR,-30.18,-50.21,62.29,88,0,14.74,clear sky
245,Boende,CD,-0.22,20.87,75.18,81,45,0.92,light rain
246,Bantogon,PH,6.53,124.03,77.41,85,94,3.94,overcast clouds
247,Sistranda,NO,63.73,8.83,57.16,97,100,3.22,light rain
248,Tromso,NO,69.65,18.96,61.38,72,75,5.75,broken clouds
249,Los Llanos De Aridane,ES,28.66,-17.92,69.55,83,20,16.11,few clouds
250,Namatanai,PG,-3.67,152.43,77.85,81,92,6.89,overcast clouds
251,Batabano,CU,22.72,-82.29,92.01,61,23,9.91,few clouds
252,Bonaventure,CA,48.05,-65.49,77.58,46,25,16.11,scattered clouds
253,Snyder,US,32.72,-100.92,102.09,18,0,8.05,clear sky
254,Invermere,CA,50.52,-116.04,83.43,27,2,1.07,clear sky
255,Inhambane,MZ,-23.86,35.38,68.31,83,0,6.87,clear sky
256,Narsaq,GL,60.92,-46.05,57.42,83,91,2.91,overcast clouds
257,Klishkivtsi,UA,48.43,26.26,67.8,63,40,8.5,scattered clouds
258,Rovenki,UA,48.08,39.38,67.84,49,77,4.88,broken clouds
259,Santa Rosalia,MX,27.32,-112.28,91.56,39,7,4.56,clear sky
260,Shenjiamen,CN,29.96,122.30,78.01,95,71,5.97,broken clouds
261,Dourbali,TD,11.81,15.86,78.44,74,39,4.52,light rain
262,Nizhnyaya Tavda,RU,57.67,66.17,58.28,97,11,6.78,few clouds
263,Makurdi,NG,7.74,8.51,75.18,86,100,0.89,light rain
264,Mehamn,NO,71.04,27.85,53.55,94,0,0.0,clear sky
265,Lebu,CL,-37.62,-73.65,53.58,95,100,11.21,overcast clouds
266,Sobolevo,RU,54.43,31.90,60.37,61,95,12.82,overcast clouds
267,Fallingbostel,DE,52.87,9.70,80.69,53,25,11.12,scattered clouds
268,Salina Cruz,MX,16.17,-95.20,92.8,50,59,8.28,broken clouds
269,La Primavera,CO,5.49,-70.41,81.61,77,66,6.42,broken clouds
270,Geraldton,AU,-28.77,114.60,66.61,94,75,20.71,broken clouds
271,Qaqortoq,GL,60.72,-46.03,53.64,79,82,3.58,broken clouds
272,Saint Pete Beach,US,27.73,-82.74,94.1,65,0,11.5,clear sky
273,Abaza,RU,52.66,90.09,53.24,75,100,4.34,overcast clouds
